split,mapped_label,label,confidence,reason,status,source,path,prepared_path,sha1,blur_score,error,row_number
train,camera,camera,high,Wall clock image includes a hidden camera beam and lens overlay,ok,images,C:\Users\amani\Downloads\dataset\images\clock_spy_camera\000038.jpg,D:\pages\hiddencam-detector\dataset\train\camera\3c2122d3ae904522dc1440ee500fe8e908fedcbf_000038.jpg,3c2122d3ae904522dc1440ee500fe8e908fedcbf,620.14,,253
train,camera,camera,high,Indoor security camera product or lifestyle image clearly shows the camera hardware,ok,images,C:\Users\amani\Downloads\dataset\images\indoor_security_camera\000029.jpg,D:\pages\hiddencam-detector\dataset\train\camera\5ba3e1f09eefb1cfb8385e2a00b4bd29b73eb1ed_000029.jpg,5ba3e1f09eefb1cfb8385e2a00b4bd29b73eb1ed,2377.88,,714
train,camera,camera,high,Product or marketing image clearly shows hidden wall camera hardware or the concealed lens location,ok,images,C:\Users\amani\Downloads\dataset\images\hidden_wall_camera\000039.jpg,D:\pages\hiddencam-detector\dataset\train\camera\d71dd13fcea98b6ad5ad905f519e59ff7dcb81ce_000039.jpg,d71dd13fcea98b6ad5ad905f519e59ff7dcb81ce,521.98,,542
train,camera,camera,high,Bullet surveillance camera is clearly visible inside the meeting room,ok,images,C:\Users\amani\Downloads\dataset\images\covert_meeting_room_camera\000022.jpg,D:\pages\hiddencam-detector\dataset\train\camera\e5d0e404688b4ba99e1e2087b46eca8121d628b1_000022.jpg,e5d0e404688b4ba99e1e2087b46eca8121d628b1,256.84,,296
train,camera,camera,high,Flexible hidden camera module clearly shows the tiny front lens,ok,images,C:\Users\amani\Downloads\dataset\images\hidden_spy_camera\000024.jpg,D:\pages\hiddencam-detector\dataset\train\camera\d245789dd05e8f65e02aacfbdbb7102b9bc3648e_000024.jpg,d245789dd05e8f65e02aacfbdbb7102b9bc3648e,401.8,,463
train,camera,camera,high,Battery camera product with visible lens and monitoring graphic,ok,images,C:\Users\amani\Downloads\dataset\images\battery_powered_spy_camera\000011.jpg,D:\pages\hiddencam-detector\dataset\train\camera\2605bbe42fbb61a1ef5d3d5ebf17c4376968a188_000011.jpg,2605bbe42fbb61a1ef5d3d5ebf17c4376968a188,640.42,,104
train,camera,camera,high,ONVIF-compatible IP camera hardware is clearly shown with visible lens or camera body,ok,images,C:\Users\amani\Downloads\dataset\images\onvif_ip_camera\000011.jpg,D:\pages\hiddencam-detector\dataset\train\camera\8b730f88a7a37463c561846c3f4fe74a19260ae9_000011.jpg,8b730f88a7a37463c561846c3f4fe74a19260ae9,550.52,,904
train,camera,camera,high,Wireless hidden camera product is shown with power adapter and phone preview,ok,images,C:\Users\amani\Downloads\dataset\images\hidden_nanny_camera\000028.jpg,D:\pages\hiddencam-detector\dataset\train\camera\b9f59f3338a326a4a75761bb70e4141dbba82146_000028.jpg,b9f59f3338a326a4a75761bb70e4141dbba82146,201.77,,436
train,camera,camera,high,Pen style hidden camera product clearly shows the body and accessories,ok,images,C:\Users\amani\Downloads\dataset\images\hidden_spy_camera\000047.jpg,D:\pages\hiddencam-detector\dataset\train\camera\206d6153042269493ff02000ba33d96b6b91b338_000047.jpg,206d6153042269493ff02000ba33d96b6b91b338,503.83,,477
train,camera,camera,high,Security camera module or camera-equipped surveillance product is clearly shown with visible lens hardware,ok,images,C:\Users\amani\Downloads\dataset\images\security_camera_module\000034.jpg,D:\pages\hiddencam-detector\dataset\train\camera\50372bfb1b0c7fb1a26b9a2a173dff82bb4c4cd6_000034.jpg,50372bfb1b0c7fb1a26b9a2a173dff82bb4c4cd6,259.04,,1226
train,camera,camera,high,Hidden nanny cam product clearly shows a surveillance lens or concealed camera device,ok,images,C:\Users\amani\Downloads\dataset\images\nanny_cam_hidden_camera\000037.jpg,D:\pages\hiddencam-detector\dataset\train\camera\343b3660d2215bba6b7b7a6bd71e40bf786a8a01_000037.jpg,343b3660d2215bba6b7b7a6bd71e40bf786a8a01,272.94,,648
train,camera,camera,high,Hidden camera in picture frame is explicitly indicated by the lens callout,ok,images,C:\Users\amani\Downloads\dataset\images\hidden_spy_camera\000011.jpg,D:\pages\hiddencam-detector\dataset\train\camera\d46ba5eeb738fffb268605ad9a467b6b4a2b3199_000011.jpg,d46ba5eeb738fffb268605ad9a467b6b4a2b3199,1410.89,,454
train,normal,normal,high,Plain smoke detector is shown without a clearly visible hidden camera lens,ok,images,C:\Users\amani\Downloads\dataset\images\smoke_detector_spy_camera\000030.jpg,D:\pages\hiddencam-detector\dataset\train\normal\8baab7f5fb2efa1be3771408b5d2c48d0debf5a2_000030.jpg,8baab7f5fb2efa1be3771408b5d2c48d0debf5a2,458.72,,1286
train,camera,camera,high,Product or marketing image clearly shows hidden wall camera hardware or the concealed lens location,ok,images,C:\Users\amani\Downloads\dataset\images\hidden_wall_camera\000036.jpg,D:\pages\hiddencam-detector\dataset\train\camera\3a1514da8cbd8053e248ac2e680ecc102273c11d_000036.jpg,3a1514da8cbd8053e248ac2e680ecc102273c11d,2213.82,,884
train,camera,camera,high,Bedside ad promotes night vision on the purifier camera,ok,images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000026.jpg,D:\pages\hiddencam-detector\dataset\train\camera\38a6bf151a3dad002a2bb533e0baa96c8f6c1682_000026.jpg,38a6bf151a3dad002a2bb533e0baa96c8f6c1682,577.33,,27
train,normal,normal,high,RF transmitter bug circuit or audio-only transmitter hardware is shown without a visible camera lens,ok,images,C:\Users\amani\Downloads\dataset\images\rf_transmitter_bug\000004.jpg,D:\pages\hiddencam-detector\dataset\train\normal\7482c3474beea9888048f33193667c7a06299ec3_000004.jpg,7482c3474beea9888048f33193667c7a06299ec3,548.34,,1110
train,camera,camera,high,Dome style Foscam security camera product clearly shows the lens,ok,images,C:\Users\amani\Downloads\dataset\images\foscam_ip_camera\000010.jpg,D:\pages\hiddencam-detector\dataset\train\camera\7862f56e7ae06713252f35573a7e01185ab36e95_000010.jpg,7862f56e7ae06713252f35573a7e01185ab36e95,115.19,,369
train,camera,camera,high,Indoor security camera product or lifestyle image clearly shows the camera hardware,ok,images,C:\Users\amani\Downloads\dataset\images\indoor_security_camera\000020.jpg,D:\pages\hiddencam-detector\dataset\train\camera\9e38216905bf54c464fb29ae63f55a0a7f2d98c3_000020.jpg,9e38216905bf54c464fb29ae63f55a0a7f2d98c3,198.26,,707
train,camera,camera,high,Spy button camera in use on clothing is illustrated,ok,images,C:\Users\amani\Downloads\dataset\images\button_spy_camera\000061.jpg,D:\pages\hiddencam-detector\dataset\train\camera\1ed224f8ccb7576428ac51d8de80dfb5837370a7_000061.jpg,1ed224f8ccb7576428ac51d8de80dfb5837370a7,75.45,,209
train,camera,camera,high,Smoke-detector covert camera product or visible concealed lens is clearly shown,ok,images,C:\Users\amani\Downloads\dataset\images\spy_camera_in_smoke_detector\000031.jpg,D:\pages\hiddencam-detector\dataset\train\camera\6d20c408f0b008ac3ac9b54cae0cc5fba065d3bc_000031.jpg,6d20c408f0b008ac3ac9b54cae0cc5fba065d3bc,386.07,,1455
train,camera,camera,high,ONVIF-compatible IP camera hardware is clearly shown with visible lens or camera body,ok,images,C:\Users\amani\Downloads\dataset\images\onvif_ip_camera\000010.jpg,D:\pages\hiddencam-detector\dataset\train\camera\7003ae58b1dec78e6adcfdd9094e8578c9308b03_000010.jpg,7003ae58b1dec78e6adcfdd9094e8578c9308b03,233.85,,903
train,normal,normal,high,RF transmitter bug circuit or audio-only transmitter hardware is shown without a visible camera lens,ok,images,C:\Users\amani\Downloads\dataset\images\rf_transmitter_bug\000009.jpg,D:\pages\hiddencam-detector\dataset\train\normal\43a62b7a3cb169fd03db1812742097b339166ddf_000009.jpg,43a62b7a3cb169fd03db1812742097b339166ddf,497.91,,1114
train,camera,camera,high,Hikvision security camera product is clearly shown with visible lens or camera housing,ok,images,C:\Users\amani\Downloads\dataset\images\hikvision_camera\000029.jpg,D:\pages\hiddencam-detector\dataset\train\camera\db79f38a3c7cfbfc9e7869ebd9842588606eec57_000029.jpg,db79f38a3c7cfbfc9e7869ebd9842588606eec57,105.57,,796
train,camera,camera,high,Wall clock ad again highlights a hidden camera module,ok,images,C:\Users\amani\Downloads\dataset\images\battery_powered_spy_camera\000036.jpg,D:\pages\hiddencam-detector\dataset\train\camera\8d5bc52d9f74c3b6582e397bb737671644776693_000036.jpg,8d5bc52d9f74c3b6582e397bb737671644776693,1551.21,,129
train,camera,camera,high,Reolink or related surveillance camera hardware is clearly shown with visible lens or camera body,ok,images,C:\Users\amani\Downloads\dataset\images\reolink_camera\frame_18474.jpg,D:\pages\hiddencam-detector\dataset\train\camera\0e6e42dc9e881ef1897dca956d5d032cb1ff2875_frame_18474.jpg,0e6e42dc9e881ef1897dca956d5d032cb1ff2875,630.72,,1068
train,camera,camera,high,Marketing collage includes a visible PTZ conference camera product,ok,images,C:\Users\amani\Downloads\dataset\images\covert_meeting_room_camera\000032.jpg,D:\pages\hiddencam-detector\dataset\train\camera\2eab9e563e4d98f1c615a938a58913639cbad259_000032.jpg,2eab9e563e4d98f1c615a938a58913639cbad259,3681.57,,306
train,normal,normal,high,"Wireless audio bug, earpiece, microphone, or detector equipment is shown without camera hardware.",ok,images,C:\Users\amani\Downloads\dataset\images\wireless_audio_bug\000033.jpg,D:\pages\hiddencam-detector\dataset\train\normal\948830e86080f146c5d758739970c65507bf2576_000033.jpg,948830e86080f146c5d758739970c65507bf2576,62.81,,1602
train,camera,camera,high,Wireless spy camera hardware or camera module is clearly shown with a visible lens.,ok,images,C:\Users\amani\Downloads\dataset\images\wireless_spy_camera\000014.jpg,D:\pages\hiddencam-detector\dataset\train\camera\82ebf37ee9a37be57719573a2015ae9242cbcdc8_000014.jpg,82ebf37ee9a37be57719573a2015ae9242cbcdc8,109.37,,1619
train,normal,normal,high,Image shows a wireless microphone bug transmitter or audio-only component without a visible camera lens,ok,images,C:\Users\amani\Downloads\dataset\images\mini_wireless_microphone_bug\000026.jpg,D:\pages\hiddencam-detector\dataset\train\normal\25abfdbddaa25040a7e576a9b9bea7c2da290a5a_000026.jpg,25abfdbddaa25040a7e576a9b9bea7c2da290a5a,728.94,,575
train,camera,camera,high,Reolink or related surveillance camera hardware is clearly shown with visible lens or camera body,ok,images,C:\Users\amani\Downloads\dataset\images\reolink_camera\frame_16450.jpg,D:\pages\hiddencam-detector\dataset\train\camera\72e746a35f1bdd3e7b57e07868e4adda34f1b078_frame_16450.jpg,72e746a35f1bdd3e7b57e07868e4adda34f1b078,93.77,,1061
train,camera,camera,high,Bullet security camera product shot clearly shows the housing and lens,ok,images,C:\Users\amani\Downloads\dataset\images\dahua_security_camera\000021.jpg,D:\pages\hiddencam-detector\dataset\train\camera\e3634c38a5f90b78558e0e8dab6e0236c94b40c3_000021.jpg,e3634c38a5f90b78558e0e8dab6e0236c94b40c3,308.87,,345
train,camera,camera,high,Flexible hidden camera module clearly shows the miniature front lens,ok,images,C:\Users\amani\Downloads\dataset\images\hidden_spy_camera\000052.jpg,D:\pages\hiddencam-detector\dataset\train\camera\9e34eb27a999260df8d74b3ea644a70b0db32115_000052.jpg,9e34eb27a999260df8d74b3ea644a70b0db32115,443.83,,481
train,camera,camera,high,Hikvision security camera product is clearly shown with visible lens or camera housing,ok,images,C:\Users\amani\Downloads\dataset\images\hikvision_camera\000021.jpg,D:\pages\hiddencam-detector\dataset\train\camera\471c11695779d8ad6d7ba0079c1515c05c36cc6c_000021.jpg,471c11695779d8ad6d7ba0079c1515c05c36cc6c,166.13,,789
train,camera,camera,high,Mini surveillance camera product clearly shows the lens and device body,ok,images,C:\Users\amani\Downloads\dataset\images\mini_surveillance_camera\000033.jpg,D:\pages\hiddencam-detector\dataset\train\camera\4de30d1e78363c574144944bcf8fc6a1ae522a52_000033.jpg,4de30d1e78363c574144944bcf8fc6a1ae522a52,535.93,,772
train,camera,camera,high,Tuya smart camera hardware is clearly shown,ok,images,C:\Users\amani\Downloads\dataset\images\tuya_smart_camera\000002.jpg,D:\pages\hiddencam-detector\dataset\train\camera\3ea1d0498533857283dc3ff890f9a8f60b328fba_000002.jpg,3ea1d0498533857283dc3ff890f9a8f60b328fba,1339.38,,1465
train,camera,camera,high,Spy camera or disguised surveillance device is clearly shown in motion-detector or alarm-style housing,ok,images,C:\Users\amani\Downloads\dataset\images\motion_detector_spy_camera\000049.jpg,D:\pages\hiddencam-detector\dataset\train\camera\55bd0e5654c9e094f7e32913a3eea3d12c9be0d1_000049.jpg,55bd0e5654c9e094f7e32913a3eea3d12c9be0d1,1613.02,,627
train,normal,normal,high,Ordinary photographer using a handheld DSLR rather than a covert camera device,ok,images,C:\Users\amani\Downloads\dataset\images\covert_surveillance_camera\000001.jpg,D:\pages\hiddencam-detector\dataset\train\normal\e01931ab84da42e4dba21d66d15aa2bf35de91a2_000001.jpg,e01931ab84da42e4dba21d66d15aa2bf35de91a2,190.49,,315
train,camera,camera,high,Camouflaged outdoor surveillance camera is visible among the leaves,ok,images,C:\Users\amani\Downloads\dataset\images\covert_surveillance_camera\000003.jpg,D:\pages\hiddencam-detector\dataset\train\camera\4cda2685bda447b6d46686b04f565ddb61149ea8_000003.jpg,4cda2685bda447b6d46686b04f565ddb61149ea8,362.64,,317
train,camera,camera,high,Small camera module is shown with two phone previews,ok,images,C:\Users\amani\Downloads\dataset\images\hidden_nanny_camera\000015.jpg,D:\pages\hiddencam-detector\dataset\train\camera\cb374b49526b559c3da70f83b4b36291921c5401_000015.jpg,cb374b49526b559c3da70f83b4b36291921c5401,1810.04,,425
train,camera,camera,high,Outdoor surveillance camera product or installed unit is clearly shown with visible lens or housing,ok,images,C:\Users\amani\Downloads\dataset\images\outdoor_surveillance_camera\000017.jpg,D:\pages\hiddencam-detector\dataset\train\camera\cc70af47d5038b9069903086904c62b074da0684_000017.jpg,cc70af47d5038b9069903086904c62b074da0684,214.09,,935
train,camera,camera,high,Outdoor surveillance camera product or installed unit is clearly shown with visible lens or housing,ok,images,C:\Users\amani\Downloads\dataset\images\outdoor_surveillance_camera\000047.jpg,D:\pages\hiddencam-detector\dataset\train\camera\0829294546d0411bd76104fb313c1dfe31dce85e_000047.jpg,0829294546d0411bd76104fb313c1dfe31dce85e,3620.78,,963
train,camera,camera,high,Clock-style hidden camera product or marked lens location is clearly shown,ok,images,C:\Users\amani\Downloads\dataset\images\spy_camera_in_clock\000033.jpg,D:\pages\hiddencam-detector\dataset\train\camera\3a0ac5de57648a7a48266a96904057a532569865_000033.jpg,3a0ac5de57648a7a48266a96904057a532569865,354.82,,1397
train,camera,camera,high,Tuya smart camera hardware is clearly shown,ok,images,C:\Users\amani\Downloads\dataset\images\tuya_smart_camera\000011.jpg,D:\pages\hiddencam-detector\dataset\train\camera\5bb3767543c2abda5977955a1e910bf5eccc1470_000011.jpg,5bb3767543c2abda5977955a1e910bf5eccc1470,821.58,,1474
train,camera,camera,high,Charger-style hidden camera product or marked lens location is clearly shown,ok,images,C:\Users\amani\Downloads\dataset\images\spy_camera_in_charger\000027.jpg,D:\pages\hiddencam-detector\dataset\train\camera\a87c8d3cff779e90a979805729f1b3aee3936f5e_000027.jpg,a87c8d3cff779e90a979805729f1b3aee3936f5e,164.54,,1361
train,camera,camera,high,USB charger covert camera product or marked lens location is clearly shown,ok,images,C:\Users\amani\Downloads\dataset\images\usb_charger_spy_camera\000032.jpg,D:\pages\hiddencam-detector\dataset\train\camera\89a4e5ef0ee1d6686baa53e86972579c766fac11_000032.jpg,89a4e5ef0ee1d6686baa53e86972579c766fac11,301.34,,1502
train,normal,normal,medium,PIR alert graphic shows a motion or alarm device without a visible camera lens,ok,images,C:\Users\amani\Downloads\dataset\images\hidden_surveillance_microphone\000020.jpg,D:\pages\hiddencam-detector\dataset\train\normal\7d84e7b855bdc14118e091d092440c3efa84ae09_000020.jpg,7d84e7b855bdc14118e091d092440c3efa84ae09,157.57,,501
train,camera,camera,high,Mini surveillance camera product clearly shows the lens and device body,ok,images,C:\Users\amani\Downloads\dataset\images\mini_surveillance_camera\000017.jpg,D:\pages\hiddencam-detector\dataset\train\camera\0e26fabfeeece48e96f1b5440ffc8cf074aea748_000017.jpg,0e26fabfeeece48e96f1b5440ffc8cf074aea748,220.46,,762
train,camera,camera,high,Full color camera advertisement clearly shows three Dahua camera products,ok,images,C:\Users\amani\Downloads\dataset\images\dahua_security_camera\000022.jpg,D:\pages\hiddencam-detector\dataset\train\camera\c216f2158d0d489555e8309be03d81e5181bce6d_000022.jpg,c216f2158d0d489555e8309be03d81e5181bce6d,1513.31,,346
train,camera,camera,high,Board level camera hardware with exposed lens,ok,images,C:\Users\amani\Downloads\dataset\images\arducam_spy_camera\000012.jpg,D:\pages\hiddencam-detector\dataset\train\camera\409fe0954c0ee83faba2f49a8bd1ed40a7da0ae1_000012.jpg,409fe0954c0ee83faba2f49a8bd1ed40a7da0ae1,187.56,,61
train,camera,camera,high,Flexible WiFi camera module product clearly shows the front lens,ok,images,C:\Users\amani\Downloads\dataset\images\hidden_nanny_camera\000034.jpg,D:\pages\hiddencam-detector\dataset\train\camera\bb5b134d230ff054b1faf1d9e59400836a7db840_000034.jpg,bb5b134d230ff054b1faf1d9e59400836a7db840,393.62,,442
train,camera,camera,high,Indoor security camera product or lifestyle image clearly shows the camera hardware,ok,images,C:\Users\amani\Downloads\dataset\images\indoor_security_camera\000022.jpg,D:\pages\hiddencam-detector\dataset\train\camera\4474ce552cb679ebb84ba94e63fc5266a6b1c708_000022.jpg,4474ce552cb679ebb84ba94e63fc5266a6b1c708,387.1,,826
train,normal,normal,high,Desk lamp image is shown without any visible hidden camera device,ok,images,C:\Users\amani\Downloads\dataset\images\secret_office_camera\000041.jpg,D:\pages\hiddencam-detector\dataset\train\normal\4b50bb6ee908e2a5570b241763bc15c01ba9e1b5_000041.jpg,4b50bb6ee908e2a5570b241763bc15c01ba9e1b5,105.21,,1187
train,camera,camera,high,Hikvision security camera product is clearly shown with visible lens or camera housing,ok,images,C:\Users\amani\Downloads\dataset\images\hikvision_camera\000018.jpg,D:\pages\hiddencam-detector\dataset\train\camera\d16acfb144466085faa29e97f0badfa1d89fd314_000018.jpg,d16acfb144466085faa29e97f0badfa1d89fd314,721.02,,670
train,camera,camera,high,Exploded render shows a concealed module inside the purifier unit,ok,images,C:\Users\amani\Downloads\dataset\images\air_purifier_hidden_camera\000031.jpg,D:\pages\hiddencam-detector\dataset\train\camera\ef89efce09afa71808c8a10a6db670c6cdfe7907_000031.jpg,ef89efce09afa71808c8a10a6db670c6cdfe7907,662.13,,30
train,camera,camera,high,Another square ArduCam housing with lens,ok,images,C:\Users\amani\Downloads\dataset\images\arducam_spy_camera\000044.jpg,D:\pages\hiddencam-detector\dataset\train\camera\057a59b2a72330acbc81b8e0160bcd42adb8d9ed_000044.jpg,057a59b2a72330acbc81b8e0160bcd42adb8d9ed,1025.70,,91
train,camera,camera,high,Bulb-style camera hardware or visible lens is clearly shown,ok,images,C:\Users\amani\Downloads\dataset\images\wifi_bulb_camera\000029.jpg,D:\pages\hiddencam-detector\dataset\train\camera\3ad94f9dd505c90efb64c6067fd78084c0fa3cb5_000029.jpg,3ad94f9dd505c90efb64c6067fd78084c0fa3cb5,267.59,,1538
train,normal,normal,high,Image shows a wireless microphone bug transmitter or audio-only component without a visible camera lens,ok,images,C:\Users\amani\Downloads\dataset\images\mini_wireless_microphone_bug\000028.jpg,D:\pages\hiddencam-detector\dataset\train\normal\5d5e7c9df93e7e0ab1f1f6858c2a3fcda65a9f6f_000028.jpg,5d5e7c9df93e7e0ab1f1f6858c2a3fcda65a9f6f,1148.44,,577
train,camera,camera,high,Product or marketing image clearly shows hidden wall camera hardware or the concealed lens location,ok,images,C:\Users\amani\Downloads\dataset\images\hidden_wall_camera\000011.jpg,D:\pages\hiddencam-detector\dataset\train\camera\92772bd366b60c074bf5fdef95f1e27c6640995f_000011.jpg,92772bd366b60c074bf5fdef95f1e27c6640995f,180.11,,863
train,camera,camera,high,Bulb-style camera hardware or visible lens is clearly shown,ok,images,C:\Users\amani\Downloads\dataset\images\wifi_bulb_camera\000027.jpg,D:\pages\hiddencam-detector\dataset\train\camera\f83915f5c96c13042384bf10e5c1112c69d99e13_000027.jpg,f83915f5c96c13042384bf10e5c1112c69d99e13,197.43,,1536
train,camera,camera,high,Mini surveillance camera product clearly shows the lens and device body,ok,images,C:\Users\amani\Downloads\dataset\images\mini_surveillance_camera\000015.jpg,D:\pages\hiddencam-detector\dataset\train\camera\25a09f7338e9c99855df20b7bb5a72c38d41a5ad_000015.jpg,25a09f7338e9c99855df20b7bb5a72c38d41a5ad,66.13,,761
train,camera,camera,high,Charger-style hidden camera product or marked lens location is clearly shown,ok,images,C:\Users\amani\Downloads\dataset\images\spy_camera_in_charger\000020.jpg,D:\pages\hiddencam-detector\dataset\train\camera\81d74cc5ff20e46dfeab81d3ce2090143799f45a_000020.jpg,81d74cc5ff20e46dfeab81d3ce2090143799f45a,830.74,,1355
train,camera,camera,high,Smoke detector spy camera product clearly shows the concealed lens or camera-marked device,ok,images,C:\Users\amani\Downloads\dataset\images\smoke_detector_spy_camera\000022.jpg,D:\pages\hiddencam-detector\dataset\train\camera\6d4dbd379111f604971f79440108553b262591d7_000022.jpg,6d4dbd379111f604971f79440108553b262591d7,1793.43,,1279
train,camera,camera,high,Hikvision security camera product is clearly shown with visible lens or camera housing,ok,images,C:\Users\amani\Downloads\dataset\images\hikvision_camera\000030.jpg,D:\pages\hiddencam-detector\dataset\train\camera\3f6c9f65d0dae7614e7f5250f5bbc813871152c9_000030.jpg,3f6c9f65d0dae7614e7f5250f5bbc813871152c9,155.96,,680
train,camera,camera,high,WiFi P2P clock ad clearly markets a hidden camera,ok,images,C:\Users\amani\Downloads\dataset\images\clock_spy_camera\000037.jpg,D:\pages\hiddencam-detector\dataset\train\camera\ec1fca0f83832bca50c7ea1fbbe462acc60577f0_000037.jpg,ec1fca0f83832bca50c7ea1fbbe462acc60577f0,837.77,,252
train,camera,camera,high,Multiple covert button camera lenses are shown,ok,images,C:\Users\amani\Downloads\dataset\images\button_spy_camera\000002.jpg,D:\pages\hiddencam-detector\dataset\train\camera\6c344657e1209a9a7395e5b13f299a9780b07682_000002.jpg,6c344657e1209a9a7395e5b13f299a9780b07682,203.22,,154
train,normal,normal,high,Video capture software screenshot is shown without visible camera hardware,ok,images,C:\Users\amani\Downloads\dataset\images\rtsp_ip_camera\000013.jpg,D:\pages\hiddencam-detector\dataset\train\normal\ce992f9f21ec3f5bb5c63e6bbbf26c886e894416_000013.jpg,ce992f9f21ec3f5bb5c63e6bbbf26c886e894416,2528.86,,1146
train,camera,camera,high,Wi-Fi IP camera hardware or packaging clearly shows a camera device with visible lens.,ok,images,C:\Users\amani\Downloads\dataset\images\wifi_ip_camera\000029.jpg,D:\pages\hiddencam-detector\dataset\train\camera\ed77b966e4002781ffcb761be66104ec2fe0ec29_000029.jpg,ed77b966e4002781ffcb761be66104ec2fe0ec29,451.17,,1573
train,camera,camera,high,USB connected hidden mini camera module is visible,ok,images,C:\Users\amani\Downloads\dataset\images\arducam_spy_camera\000006.jpg,D:\pages\hiddencam-detector\dataset\train\camera\a3bf8d8d071b3cdd7e7b5f67e2707a675d15ef93_000006.jpg,a3bf8d8d071b3cdd7e7b5f67e2707a675d15ef93,2393.70,,55
train,camera,camera,high,Hidden nanny cam product clearly shows a surveillance lens or concealed camera device,ok,images,C:\Users\amani\Downloads\dataset\images\nanny_cam_hidden_camera\000001.jpg,D:\pages\hiddencam-detector\dataset\train\camera\d337a19f6a5bdd77ad3f941199721d0b120fb42b_000001.jpg,d337a19f6a5bdd77ad3f941199721d0b120fb42b,604.97,,630
train,camera,camera,high,Board camera system with lens mounted on the front,ok,images,C:\Users\amani\Downloads\dataset\images\arducam_spy_camera\000029.jpg,D:\pages\hiddencam-detector\dataset\train\camera\c967e17ce3b68160b5d431767dfe692ec7ae5836_000029.jpg,c967e17ce3b68160b5d431767dfe692ec7ae5836,207.07,,77
